Title,Link,Views,Duration 
Fast Forward Your Career with Flexible Learning Hours #FFwithupGrad,https://www.youtube.com/watch?v=GjQCm3t_PMM,"11,159,940",0:20
Build a career in Data Science in Germany || upGrad Abroad,https://www.youtube.com/watch?v=oP3Ukqllbko,"1,788",9:58
Top Placements with upGrad #FFwithupGrad,https://www.youtube.com/watch?v=RMejQDlpW_E,"40,894",0:20
Fast Forward Your Career and get Great Salary Hikes | #FFwithupGrad,https://www.youtube.com/watch?v=o1uyZXe9IhA,"9,661,306",0:20:00
Data Science Roadmap for Beginners | upGrad,https://www.youtube.com/watch?v=Cg1_whDNRv0,"4,192",4:02
The Legalities Behind NFTs | #upGrad,https://www.youtube.com/watch?v=Hcm0pDmC4bI,849,4:13
Metaverse Classrooms | The Future of Education? #upGrad,https://www.youtube.com/watch?v=sOUhL4dYpvA,"5,856",3:40
Aayush Jain's Inspiring Story | Alumni Testimonials | #upGrad,https://www.youtube.com/watch?v=jqB9nXnVq9o,"10,758",3:27
Welcome to upGrad!,https://www.youtube.com/watch?v=T8CYrTk8IGE,"4,902",1:00
Best Guide for Income Tax Returns | ft. @ShashankUdupa1 | #upGrad,https://www.youtube.com/watch?v=di7iTTuSWY4,"1,357",2:24
Top Faculty with upGrad #FFwithupGrad,https://www.youtube.com/watch?v=bDxi4LfdQeY,"194,281",0:20
@beyounick x @upGrad_edu | The Office Canteen S02 EP02 | New Joinee Ka Pravesh | Ft. @triggeredinsaan,https://www.youtube.com/watch?v=S5SAwHgSKTY,912,17:48:00
Desi Chicken vs Videshi Chicken? | Decoding Law Ep. 01 | #llm,https://www.youtube.com/watch?v=yNh-jEy-aaI,863,6:37
@beyounick x upGrad : Office Canteen S1 Ep02 | Welcoming a New Joinee | Ft. @SlayyPointOfficial,https://www.youtube.com/watch?v=Xo6w62x-Hro,895,8:48
Earn a Tech-MBA in the US with Dual Degree || upGrad Abroad,https://www.youtube.com/watch?v=3hS-r6JcbcM,505,9:52
Financing your Higher Ed Abroad || upGrad Abroad,https://www.youtube.com/watch?v=w0IEoLaSosU,730,4:33
